AAPL, AMZN, GOOG, MSFT, NVDA, return, volatility, sharp ratio, 
0.523527, 0.271041, 0.034043, 0.023511, 0.147878, 0.384423, 0.198599, 1.716136, 
0.390850, 0.217391, 0.161366, 0.012625, 0.217768, 0.480361, 0.210239, 2.077453, 
0.337213, 0.263797, 0.348462, 0.015037, 0.035491, 0.364343, 0.196790, 1.629874, 
0.429411, 0.009161, 0.318978, 0.090235, 0.152215, 0.419875, 0.198620, 1.894451, 
0.173994, 0.110701, 0.214688, 0.251340, 0.249277, 0.546083, 0.215277, 2.334127, 
0.313482, 0.146738, 0.135125, 0.122924, 0.281732, 0.539821, 0.219422, 2.261494, 
0.008942, 0.287211, 0.308820, 0.067426, 0.327601, 0.670723, 0.257457, 2.435839, 
0.238344, 0.001382, 0.350805, 0.395769, 0.013699, 0.342788, 0.182338, 1.640843, 
0.135326, 0.272999, 0.234230, 0.071777, 0.285668, 0.600499, 0.236265, 2.357092, 
0.283828, 0.070734, 0.315022, 0.180383, 0.150033, 0.450596, 0.197526, 2.060464, 
0.083776, 0.049867, 0.391747, 0.468629, 0.005982, 0.375125, 0.190494, 1.740345, 
0.294110, 0.371667, 0.189411, 0.041290, 0.103523, 0.419063, 0.202018, 1.858558, 
0.166289, 0.062268, 0.315881, 0.352614, 0.102948, 0.432684, 0.191959, 2.026914, 
0.410128, 0.088016, 0.083791, 0.344505, 0.073559, 0.334053, 0.178654, 1.625784, 
0.087364, 0.049074, 0.377012, 0.355355, 0.131196, 0.478243, 0.202543, 2.145936, 
0.293733, 0.247672, 0.205450, 0.220913, 0.032231, 0.350406, 0.183518, 1.671808, 
0.285582, 0.227125, 0.057395, 0.219407, 0.210491, 0.481988, 0.206084, 2.127231, 
0.085816, 0.171731, 0.241176, 0.285925, 0.215352, 0.542839, 0.215592, 2.315666, 
0.248423, 0.293015, 0.186461, 0.103771, 0.168329, 0.475449, 0.206677, 2.089493, 
0.213082, 0.058500, 0.200613, 0.263209, 0.264597, 0.545322, 0.215210, 2.331314, 
0.452487, 0.082490, 0.036858, 0.412712, 0.015453, 0.270472, 0.174780, 1.298049, 
0.155632, 0.208024, 0.253339, 0.355908, 0.027096, 0.375153, 0.186497, 1.777793, 
0.195473, 0.216116, 0.212517, 0.244476, 0.131419, 0.451152, 0.196957, 2.069244, 
0.141892, 0.029209, 0.278652, 0.315371, 0.234876, 0.541222, 0.212917, 2.337160, 
0.124617, 0.273062, 0.234019, 0.334333, 0.033969, 0.389974, 0.191490, 1.808831, 
0.068638, 0.255279, 0.110600, 0.329525, 0.235957, 0.554090, 0.222143, 2.298025, 
0.092471, 0.284145, 0.292016, 0.118212, 0.213156, 0.555726, 0.225714, 2.268911, 
0.302645, 0.259156, 0.042478, 0.173139, 0.222581, 0.489774, 0.210110, 2.123522, 
0.099866, 0.107423, 0.221681, 0.517780, 0.053249, 0.395318, 0.186799, 1.882868, 
0.338023, 0.154350, 0.071750, 0.288241, 0.147635, 0.414510, 0.190376, 1.948302, 
0.503282, 0.063090, 0.087038, 0.316442, 0.030148, 0.277881, 0.176605, 1.326579, 
0.084211, 0.254204, 0.251447, 0.185246, 0.224892, 0.559525, 0.223606, 2.307296, 
0.199131, 0.393835, 0.227086, 0.109066, 0.070882, 0.416311, 0.203073, 1.835355, 
0.037457, 0.039977, 0.499776, 0.105495, 0.317295, 0.659715, 0.251886, 2.446008, 
0.171388, 0.129728, 0.263764, 0.316633, 0.118488, 0.443973, 0.193622, 2.067805, 
0.283108, 0.266105, 0.248486, 0.014160, 0.188141, 0.491119, 0.212116, 2.109780, 
0.053194, 0.366767, 0.259255, 0.113821, 0.206963, 0.560886, 0.231420, 2.235273, 
0.332242, 0.249842, 0.141466, 0.224592, 0.051859, 0.351699, 0.182723, 1.686157, 
0.288738, 0.264736, 0.270916, 0.135394, 0.040215, 0.367851, 0.189849, 1.707940, 
0.032397, 0.213930, 0.083734, 0.382175, 0.287763, 0.597840, 0.233491, 2.373707, 
0.355412, 0.205145, 0.039814, 0.239667, 0.159961, 0.421874, 0.194281, 1.947048, 
0.280494, 0.241574, 0.094713, 0.113397, 0.269822, 0.539022, 0.221079, 2.240923, 
0.296326, 0.129945, 0.155312, 0.163386, 0.255031, 0.521679, 0.213003, 2.244476, 
0.443607, 0.062033, 0.079718, 0.111314, 0.303329, 0.518959, 0.221186, 2.149135, 
0.143694, 0.115344, 0.276586, 0.109390, 0.354987, 0.649380, 0.245453, 2.468007, 
0.291679, 0.126436, 0.095851, 0.381337, 0.104697, 0.387783, 0.183797, 1.872627, 
0.383691, 0.263873, 0.278949, 0.009214, 0.064273, 0.370966, 0.194508, 1.683046, 
0.013228, 0.251268, 0.293999, 0.093787, 0.347718, 0.681954, 0.258511, 2.469347, 
0.281500, 0.265418, 0.281255, 0.091026, 0.080801, 0.404875, 0.195836, 1.844781, 
0.234175, 0.094121, 0.171739, 0.305813, 0.194152, 0.481177, 0.200056, 2.187272, 
0.008638, 0.404517, 0.276143, 0.230297, 0.080405, 0.467881, 0.216736, 1.957600, 
0.201823, 0.131818, 0.272816, 0.325999, 0.067544, 0.396461, 0.186477, 1.892245, 
0.245876, 0.175202, 0.257320, 0.138835, 0.182767, 0.487075, 0.205238, 2.160781, 
0.271708, 0.128559, 0.291390, 0.130797, 0.177547, 0.478076, 0.203619, 2.133770, 
0.227542, 0.139889, 0.179562, 0.200430, 0.252578, 0.536672, 0.214695, 2.296611, 
0.284251, 0.027526, 0.339306, 0.053267, 0.295649, 0.572880, 0.228341, 2.317936, 
0.169472, 0.081141, 0.382614, 0.003036, 0.363737, 0.662365, 0.252672, 2.448887, 
0.259638, 0.100178, 0.260587, 0.120249, 0.259348, 0.543141, 0.217703, 2.294600, 
0.035774, 0.080310, 0.219788, 0.391752, 0.272376, 0.590062, 0.225746, 2.420688, 
0.016227, 0.750476, 0.021967, 0.005944, 0.205386, 0.569225, 0.267648, 1.963869, 
0.302088, 0.295821, 0.281241, 0.050128, 0.070723, 0.395017, 0.197041, 1.783468, 
0.103927, 0.345688, 0.089009, 0.058827, 0.402549, 0.692990, 0.268364, 2.419807, 
0.347510, 0.167855, 0.052099, 0.262579, 0.169957, 0.430206, 0.194633, 1.986337, 
0.255964, 0.207144, 0.251413, 0.242990, 0.042490, 0.368660, 0.185104, 1.756095, 
0.264273, 0.296106, 0.104083, 0.091122, 0.244416, 0.526498, 0.219432, 2.200668, 
0.307945, 0.100295, 0.173813, 0.315585, 0.102362, 0.390356, 0.183757, 1.887030, 
0.229170, 0.175468, 0.290829, 0.095991, 0.208542, 0.516302, 0.212995, 2.219309, 
0.028066, 0.265383, 0.239954, 0.132315, 0.334282, 0.662125, 0.252431, 2.450275, 
0.306266, 0.168764, 0.112559, 0.399094, 0.013317, 0.313549, 0.175332, 1.539651, 
0.242023, 0.184883, 0.263096, 0.188761, 0.121238, 0.437409, 0.195205, 2.017412, 
0.391938, 0.146422, 0.106270, 0.083750, 0.271621, 0.512606, 0.216409, 2.167219, 
0.397134, 0.035832, 0.363175, 0.198351, 0.005509, 0.310027, 0.184478, 1.444221, 
0.123606, 0.131323, 0.355521, 0.068422, 0.321128, 0.635989, 0.243296, 2.434850, 
0.134983, 0.103474, 0.040707, 0.445911, 0.274926, 0.552537, 0.220803, 2.304936, 
0.219336, 0.060872, 0.204722, 0.271004, 0.244067, 0.527513, 0.210665, 2.297074, 
0.319365, 0.265938, 0.156946, 0.199944, 0.057808, 0.362516, 0.185063, 1.723285, 
0.237450, 0.112594, 0.156227, 0.317807, 0.175922, 0.464765, 0.196766, 2.140437, 
0.020433, 0.310829, 0.206023, 0.326048, 0.136667, 0.496276, 0.212541, 2.129831, 
0.339149, 0.083501, 0.334445, 0.099790, 0.143115, 0.437730, 0.198860, 1.981942, 
0.094673, 0.319402, 0.341693, 0.147244, 0.096989, 0.466503, 0.211622, 1.998390, 
0.239471, 0.260943, 0.091709, 0.161422, 0.246456, 0.528399, 0.217500, 2.228958, 
0.079351, 0.137785, 0.216859, 0.232770, 0.333235, 0.637650, 0.240481, 2.470260, 
0.501232, 0.190632, 0.090570, 0.080142, 0.137424, 0.380171, 0.192946, 1.744380, 
0.510342, 0.131640, 0.071224, 0.190718, 0.096076, 0.336039, 0.184353, 1.586301, 
0.279783, 0.488629, 0.155125, 0.056076, 0.020387, 0.357210, 0.201232, 1.558453, 
0.208941, 0.085109, 0.171223, 0.377137, 0.157589, 0.454291, 0.193868, 2.118405, 
0.182445, 0.272588, 0.115282, 0.291884, 0.137802, 0.451520, 0.198806, 2.051855, 
0.101535, 0.031950, 0.302595, 0.309136, 0.254783, 0.569013, 0.219965, 2.388618, 
0.179128, 0.137032, 0.293777, 0.218336, 0.171726, 0.491876, 0.204460, 2.192486, 
0.030406, 0.169344, 0.405296, 0.083483, 0.311470, 0.655187, 0.250423, 2.442220, 
0.307071, 0.243135, 0.143965, 0.024738, 0.281091, 0.549833, 0.225472, 2.245218, 
0.121819, 0.178129, 0.281824, 0.252139, 0.166089, 0.500052, 0.206871, 2.206462, 
0.162053, 0.188926, 0.183075, 0.328243, 0.137703, 0.456800, 0.196503, 2.102762, 
0.238714, 0.279163, 0.109365, 0.163774, 0.208984, 0.500688, 0.210941, 2.166896, 
0.355295, 0.031144, 0.041098, 0.310341, 0.262123, 0.493515, 0.210157, 2.140856, 
0.324603, 0.478411, 0.009511, 0.155491, 0.031984, 0.339118, 0.195499, 1.511605, 
0.225009, 0.038924, 0.289340, 0.380999, 0.065728, 0.384681, 0.183858, 1.855136, 
0.207767, 0.157717, 0.376472, 0.178885, 0.079158, 0.420473, 0.196806, 1.914942, 
0.115686, 0.263611, 0.210072, 0.261597, 0.149034, 0.485009, 0.205985, 2.142918, 
0.430262, 0.255139, 0.173059, 0.111687, 0.029853, 0.318839, 0.183352, 1.501151, 
0.074226, 0.325932, 0.217659, 0.245827, 0.136356, 0.488494, 0.211006, 2.108447, 
0.329225, 0.295063, 0.005485, 0.336064, 0.034163, 0.323953, 0.181806, 1.542047, 
0.042217, 0.241882, 0.101874, 0.423073, 0.190954, 0.518890, 0.214032, 2.220651, 
0.187959, 0.099735, 0.364199, 0.051378, 0.296729, 0.601496, 0.234699, 2.377072, 
0.423822, 0.207392, 0.123745, 0.195294, 0.049747, 0.326555, 0.180387, 1.568602, 
0.219933, 0.078769, 0.207810, 0.338317, 0.155171, 0.454244, 0.193895, 2.117873, 
0.280226, 0.011561, 0.283792, 0.342513, 0.081908, 0.384760, 0.184098, 1.853143, 
0.199957, 0.181450, 0.259189, 0.203832, 0.155572, 0.473654, 0.201380, 2.135528, 
0.041513, 0.464233, 0.015667, 0.142162, 0.336426, 0.649880, 0.262705, 2.307834, 
0.149562, 0.240302, 0.318552, 0.014040, 0.277543, 0.598818, 0.236976, 2.342931, 
0.160515, 0.408355, 0.045634, 0.274839, 0.110657, 0.435524, 0.204595, 1.915605, 
0.104125, 0.114200, 0.249465, 0.430388, 0.101822, 0.439619, 0.192991, 2.052009, 
0.377291, 0.187600, 0.089222, 0.239062, 0.106825, 0.377588, 0.185346, 1.801972, 
0.186160, 0.152799, 0.432460, 0.179027, 0.049553, 0.406277, 0.198809, 1.824251, 
0.164822, 0.143582, 0.294413, 0.173634, 0.223549, 0.539011, 0.215649, 2.297303, 
0.180213, 0.294396, 0.103247, 0.116742, 0.305403, 0.593812, 0.235982, 2.331586, 
0.012389, 0.360531, 0.421958, 0.060961, 0.144160, 0.535733, 0.234223, 2.101133, 
0.040717, 0.209236, 0.331556, 0.349148, 0.069343, 0.442803, 0.201185, 1.984258, 
0.266059, 0.166791, 0.216636, 0.349909, 0.000605, 0.323517, 0.177661, 1.575568, 
0.279640, 0.104277, 0.115768, 0.261023, 0.239291, 0.504381, 0.207687, 2.218625, 
0.205394, 0.135935, 0.074798, 0.186420, 0.397452, 0.649634, 0.249914, 2.424970, 
0.274773, 0.302136, 0.246848, 0.067788, 0.108455, 0.428280, 0.200420, 1.919365, 
0.378655, 0.119234, 0.029185, 0.295130, 0.177796, 0.423831, 0.194555, 1.954365, 
0.126910, 0.245803, 0.249786, 0.309477, 0.068024, 0.417970, 0.194101, 1.928734, 
0.293598, 0.195070, 0.230346, 0.125437, 0.155548, 0.453244, 0.199289, 2.055524, 
0.184420, 0.043267, 0.215349, 0.285590, 0.271375, 0.557093, 0.217538, 2.360472, 
0.173131, 0.166036, 0.082448, 0.241630, 0.336756, 0.608076, 0.236009, 2.391753, 
