Date,AAPL,AMZN,GOOG,MSFT,NVDA
2023-06-26 00:00:00-04:00,185.2700042724609,127.33000183105467,119.08999633789062,328.6000061035156,40.63199996948242
2023-06-27 00:00:00-04:00,188.0599975585937,129.17999267578125,119.01000213623048,334.57000732421875,41.8759994506836
2023-06-28 00:00:00-04:00,189.25,129.0399932861328,121.08000183105467,335.8500061035156,41.117000579833984
2023-06-29 00:00:00-04:00,189.58999633789065,127.9000015258789,120.01000213623048,335.04998779296875,40.821998596191406
2023-06-30 00:00:00-04:00,193.97000122070312,130.36000061035156,120.97000122070312,340.5400085449219,42.30199813842773
2023-07-03 00:00:00-04:00,192.4600067138672,130.22000122070312,120.55999755859376,337.989990234375,42.41299819946289
2023-07-05 00:00:00-04:00,191.3300018310547,130.3800048828125,122.62999725341795,338.1499938964844,42.31700134277344
2023-07-06 00:00:00-04:00,191.8099975585937,128.36000061035156,120.93000030517578,341.2699890136719,42.10300064086914
2023-07-07 00:00:00-04:00,190.67999267578125,129.77999877929688,120.13999938964844,337.2200012207031,42.50299835205078
2023-07-10 00:00:00-04:00,188.6100006103516,127.12999725341795,116.87000274658205,331.8299865722656,42.18000030517578
2023-07-11 00:00:00-04:00,188.0800018310547,128.77999877929688,117.70999908447266,332.4700012207031,42.40499877929688
2023-07-12 00:00:00-04:00,189.7700042724609,130.8000030517578,119.62000274658205,337.20001220703125,43.902000427246094
2023-07-13 00:00:00-04:00,190.5399932861328,134.3000030517578,124.83000183105467,342.6600036621094,45.97700119018555
2023-07-14 00:00:00-04:00,190.69000244140625,134.67999267578125,125.6999969482422,345.239990234375,45.46900177001953
2023-07-17 00:00:00-04:00,193.9900054931641,133.55999755859375,125.05999755859376,345.7300109863281,46.46099853515625
2023-07-18 00:00:00-04:00,193.72999572753903,132.8300018310547,124.08000183105467,359.489990234375,47.49399948120117
2023-07-19 00:00:00-04:00,195.1000061035156,135.36000061035156,122.77999877929688,355.0799865722656,47.07699966430664
2023-07-20 00:00:00-04:00,193.1300048828125,129.9600067138672,119.52999877929688,346.8699951171875,45.52000045776367
2023-07-21 00:00:00-04:00,191.94000244140625,130.0,120.30999755859376,343.7699890136719,44.30899810791016
2023-07-24 00:00:00-04:00,192.75,128.8000030517578,121.87999725341795,345.1099853515625,44.61199951171875
2023-07-25 00:00:00-04:00,193.6199951171875,129.1300048828125,122.79000091552734,350.9800109863281,45.67900085449219
2023-07-26 00:00:00-04:00,194.5,128.14999389648438,129.66000366210938,337.7699890136719,45.45199966430664
2023-07-27 00:00:00-04:00,193.22000122070312,128.25,129.8699951171875,330.7200012207031,45.900001525878906
2023-07-28 00:00:00-04:00,195.8300018310547,132.2100067138672,133.00999450683594,338.3699951171875,46.75
2023-07-31 00:00:00-04:00,196.4499969482422,133.67999267578125,133.11000061035156,335.9200134277344,46.729000091552734
2023-08-01 00:00:00-04:00,195.6100006103516,131.69000244140625,131.88999938964844,336.3399963378906,46.50699996948242
2023-08-02 00:00:00-04:00,192.5800018310547,128.2100067138672,128.63999938964844,327.5,44.26900100708008
2023-08-03 00:00:00-04:00,191.1699981689453,128.91000366210938,128.77000427246094,326.6600036621094,44.51499938964844
2023-08-04 00:00:00-04:00,181.9900054931641,139.57000732421875,128.5399932861328,327.7799987792969,44.68000030517578
2023-08-07 00:00:00-04:00,178.85000610351562,142.22000122070312,131.94000244140625,330.1099853515625,45.41699981689453
2023-08-08 00:00:00-04:00,179.8000030517578,139.94000244140625,131.83999633789062,326.04998779296875,44.66400146484375
2023-08-09 00:00:00-04:00,178.19000244140625,137.85000610351562,130.14999389648438,322.2300109863281,42.55400085449219
2023-08-10 00:00:00-04:00,177.97000122070312,138.55999755859375,130.2100067138672,322.92999267578125,42.38800048828125
2023-08-11 00:00:00-04:00,177.7899932861328,138.41000366210938,130.1699981689453,321.010009765625,40.85499954223633
2023-08-14 00:00:00-04:00,179.4600067138672,140.57000732421875,131.8300018310547,324.0400085449219,43.75299835205078
2023-08-15 00:00:00-04:00,177.4499969482422,137.6699981689453,130.27000427246094,321.8599853515625,43.93999862670898
2023-08-16 00:00:00-04:00,176.57000732421875,135.07000732421875,129.11000061035156,320.3999938964844,43.48600006103516
2023-08-17 00:00:00-04:00,174.0,133.97999572753906,130.4600067138672,316.8800048828125,43.34400177001953
2023-08-18 00:00:00-04:00,174.49000549316406,133.22000122070312,128.11000061035156,316.4800109863281,43.29899978637695
2023-08-21 00:00:00-04:00,175.83999633789062,134.67999267578125,128.92999267578125,321.8800048828125,46.96699905395508
2023-08-22 00:00:00-04:00,177.22999572753906,134.25,129.69000244140625,322.4599914550781,45.667999267578125
2023-08-23 00:00:00-04:00,181.1199951171875,135.52000427246094,133.2100067138672,327.0,47.11600112915039
2023-08-24 00:00:00-04:00,176.3800048828125,131.83999633789062,130.4199981689453,319.9700012207031,47.16299819946289
2023-08-25 00:00:00-04:00,178.61000061035156,133.25999450683594,130.69000244140625,322.9800109863281,46.01800155639648
2023-08-28 00:00:00-04:00,180.19000244140625,133.13999938964844,131.7899932861328,323.70001220703125,46.834999084472656
2023-08-29 00:00:00-04:00,184.1199951171875,134.91000366210938,135.49000549316406,328.4100036621094,48.78400039672852
2023-08-30 00:00:00-04:00,187.6499938964844,135.07000732421875,136.92999267578125,328.7900085449219,49.26399993896485
2023-08-31 00:00:00-04:00,187.8699951171875,138.00999450683594,137.35000610351562,327.760009765625,49.35499954223633
2023-09-01 00:00:00-04:00,189.4600067138672,138.1199951171875,136.8000030517578,328.6600036621094,48.50899887084961
